Node_Room_Name,Cross Count
445,22
431,47
513,134
504,137
489,919
488,1097
373,1393
206,1704
55,1548
69,1795
41,867
53,261
42,96
181,129
224,21
140,35
439,24
510,21
432,81
260,59
299,52
397,130
296,193
378,317
410,204
334,176
380,265
404,265
348,433
349,19
39,6
64,4
43,29
180,25
303,35
442,31
599,31
579,63
594,171
584,41
611,72
626,17
592,31
440,38
304,100
79,18
209,239
81,246
225,246
136,184
231,302
210,561
328,51
377,78
301,32
270,38
398,35
405,31
396,57
267,64
395,102
394,240
302,524
179,415
44,355
17,293
26,314
20,200
25,191
421,35
490,65
517,66
499,19
433,808
463,121
461,729
501,817
441,547
290,27
294,35
400,48
346,47
514,304
402,268
239,266
70,260
10,253
8,247
18,289
29,287
9,265
80,19
593,261
583,39
34,23
261,27
1,86
286,3
379,15
266,17
201,234
202,234
214,272
178,62
112,70
234,60
205,23
173,26
106,22
78,78
232,57
229,161
83,82
82,130
613,232
620,100
615,1
32,16
235,39
90,2
111,5
139,83
153,19
154,51
470,1
624,48
617,29
5,2
4,26
250,29
429,41
436,11
252,22
228,32
125,94
236,123
168,175
213,203
84,107
605,6
253,23
466,48
618,10
614,3
577,23
568,64
37,15
249,22
268,34
430,19
549,3
291,24
547,3
255,25
38,19
77,17
256,24
391,51
262,22
540,2
533,6
254,18
393,21
419,21
512,24
619,47
167,2
233,26
45,21
66,1
565,3
263,38
375,50
406,52
509,49
516,22
58,27
50,44
49,44
74,48
371,23
108,24
12,7
52,5
56,5
585,25
166,23
170,24
237,130
215,17
91,2
446,1
443,13
444,15
36,16
212,27
226,19
317,3
435,19
31,23
211,54
240,58
147,33
138,34
107,18
322,1
182,8
399,19
160,4
374,51
343,24
600,50
560,3
40,23
89,3
172,26
264,25
511,48
515,23
450,2
534,1
448,13
244,2
28,18
369,1
14,2
6,7
23,1
2,2
47,33
27,7
76,24
159,17
269,13
245,15
625,4
591,6
621,5
548,2
567,7
551,2
622,3
11,8
414,16
60,2
88,3
35,15
259,21
320,2
464,5
331,1
392,21
438,16
412,10
469,22
297,4
353,3
342,41
230,3
602,4
521,4
607,8
134,39
491,5
413,10
85,1
165,2
610,5
467,2
227,23
459,3
401,12
248,18
570,3
569,13
520,3
357,2
257,7
62,10
474,3
158,16
616,5
368,1
370,1
300,2
359,2
388,4
146,13
169,12
545,12
417,3
589,1
543,4
99,27
493,9
598,9
54,1
525,2
471,2
526,1
59,5
312,3
0,1
341,3
606,6
492,17
462,20
295,3
387,3
305,3
46,16
265,1
572,3
416,4
161,2
381,7
216,3
135,1
247,6
603,2
337,2
338,1
574,3
571,11
73,3
604,2
456,2
597,4
550,2
72,4
104,1
556,2
258,1
553,2
336,3
350,2
298,2
360,3
324,4
532,2
544,5
507,2
330,2
313,1
333,5
335,6
51,1
310,1
101,2
327,4
408,5
13,3
222,1
608,1
372,2
186,1
315,2
314,2
415,1
339,2
437,2
329,3
530,2
204,1
16,1
7,1
366,4
163,3
67,3
308,1
71,2
523,1
316,1
318,1
354,2
103,2
447,1
457,7
223,4
133,2
127,3
238,1
242,4
57,3
355,1
527,1
458,2
473,1
500,3
465,2
358,1
307,2
386,2
351,1
189,2
132,1
61,1
15,4
506,3
131,1
562,5
19,4
323,4
449,2
519,3
311,1
479,2
566,3
185,2
480,1
219,3
586,2
171,1
564,1
475,1
434,1
407,1
528,2
221,1
220,1
454,2
468,1
623,3
246,1
524,1
325,1
367,1
536,2
243,1
451,1
175,1
476,2
364,1
546,1
97,2
105,1
326,1
162,1
190,1
340,1
184,3
477,1
460,2
207,1
93,1
157,1
95,1
176,3
177,2
24,2
137,3
590,1
92,1
98,3
453,1
576,1
537,1
538,1
390,2
86,1
306,1
63,1
539,1
411,1
87,1
535,2
531,1
554,1
251,1
