Source Level,Target Level,Source Room Number,Target Room Number,vi,vj,Source Room Unique ID,Target Room Unique ID,Access,Connecting Centroids Distance
1,2,HP-ST-102,HP-ST-202,27,43,1793b9fb-b174-4ff0-8b99-22be4f8cd621-00b88854,363b0869-408a-48a6-bd1a-c1220b2aa530-003e367a,1,4
1,2,HP-EL-1,HP-EL-1,10,70,01dcde21-cacf-4769-a509-88c3cf060c87-004ac8e8,7b34e276-e792-43b8-9e91-6ada6cecacba-00b5b2d7,1,4
1,2,HP-EL-2,HP-EL-2,17,44,60690624-7c29-4099-9d41-4a3a5837f222-005ec0bb,363b0869-408a-48a6-bd1a-c1220b2aa530-003e367d,1,4
2,3,HP-ST-201,HP-ST-301,42,181,363b0869-408a-48a6-bd1a-c1220b2aa530-003e3677,363b0869-408a-48a6-bd1a-c1220b2aa530-003e2a28,1,4
2,3,HP-ST-202,HP-ST-302,43,180,363b0869-408a-48a6-bd1a-c1220b2aa530-003e367a,363b0869-408a-48a6-bd1a-c1220b2aa530-003e2a25,1,4
2,3,HP-ST-203,HP-ST-303,55,206,01dcde21-cacf-4769-a509-88c3cf060c87-004ac94c,10da9b0b-831f-4221-ac76-9ea0eb3a245e-004ad710,1,4
2,3,HP-EL-2,HP-EL-2,44,179,363b0869-408a-48a6-bd1a-c1220b2aa530-003e367d,363b0869-408a-48a6-bd1a-c1220b2aa530-003e2a1f,1,4
2,3,HP-EL-1,HP-EL-1,70,239,7b34e276-e792-43b8-9e91-6ada6cecacba-00b5b2d7,5c1cfe9a-7356-4ee9-a7ec-333e5b2d8bf0-00b86904,1,4
3,4,HP-ST-302,HP-ST-402,180,303,363b0869-408a-48a6-bd1a-c1220b2aa530-003e2a25,363b0869-408a-48a6-bd1a-c1220b2aa530-003e35bb,1,4
3,4,HP-ST-301,HP-ST-401,181,304,363b0869-408a-48a6-bd1a-c1220b2aa530-003e2a28,363b0869-408a-48a6-bd1a-c1220b2aa530-003e35be,1,4
3,4,HP-ST-303,HP-ST-403,206,373,10da9b0b-831f-4221-ac76-9ea0eb3a245e-004ad710,10da9b0b-831f-4221-ac76-9ea0eb3a245e-004af43e,1,4
3,4,HP-EL-2,HP-EL-2,179,302,363b0869-408a-48a6-bd1a-c1220b2aa530-003e2a1f,363b0869-408a-48a6-bd1a-c1220b2aa530-003e35b5,1,4
3,4,HP-EL-1,HP-EL-1,239,402,5c1cfe9a-7356-4ee9-a7ec-333e5b2d8bf0-00b86904,bb9deb9c-9308-4235-b52c-58a3927e8235-00b09d44,1,4
4,5,HP-ST-402,HP-ST-502,303,442,363b0869-408a-48a6-bd1a-c1220b2aa530-003e35bb,363b0869-408a-48a6-bd1a-c1220b2aa530-003e2a37,1,4
4,5,HP-ST-401,HP-ST-501,304,440,363b0869-408a-48a6-bd1a-c1220b2aa530-003e35be,363b0869-408a-48a6-bd1a-c1220b2aa530-003e2a2e,1,4
4,5,HP-ST-403,HP-ST-503,373,488,10da9b0b-831f-4221-ac76-9ea0eb3a245e-004af43e,10da9b0b-831f-4221-ac76-9ea0eb3a245e-004af1a7,1,4
4,5,HP-EL-2,HP-EL-2,302,441,363b0869-408a-48a6-bd1a-c1220b2aa530-003e35b5,363b0869-408a-48a6-bd1a-c1220b2aa530-003e2a31,1,4
4,5,HP-EL-1,HP-EL-1,402,514,bb9deb9c-9308-4235-b52c-58a3927e8235-00b09d44,5c1cfe9a-7356-4ee9-a7ec-333e5b2d8bf0-00b869eb,1,4
5,6,HP-ST-501,HP-ST-601,440,592,363b0869-408a-48a6-bd1a-c1220b2aa530-003e2a2e,10da9b0b-831f-4221-ac76-9ea0eb3a245e-004af2a7,1,4
5,6,HP-ST-502,HP-ST-602,442,599,363b0869-408a-48a6-bd1a-c1220b2aa530-003e2a37,6922bfcd-f9f2-4f2d-9253-d98429ee199d-004cecda,1,4
5,6,HP-ST-503,HP-ST-603,488,593,10da9b0b-831f-4221-ac76-9ea0eb3a245e-004af1a7,10da9b0b-831f-4221-ac76-9ea0eb3a245e-004af2b0,1,4
5,6,HP-ST-504,HP-ST-604,493,598,cac56560-baa1-4997-99a9-6340b42fb4c3-004cebb4,6922bfcd-f9f2-4f2d-9253-d98429ee199d-004cecb1,1,4
5,6,HP-EL-2,HP-EL-2,441,568,363b0869-408a-48a6-bd1a-c1220b2aa530-003e2a31,363b0869-408a-48a6-bd1a-c1220b2aa530-003e3660,1,4
5,6,HP-EL-1,HP-EL-1,514,621,5c1cfe9a-7356-4ee9-a7ec-333e5b2d8bf0-00b869eb,5c1cfe9a-7356-4ee9-a7ec-333e5b2d8bf0-00b86a9d,1,4
